127.0.0.1 - - [10/Dec/2018:12:21:01 +0000] "GET / HTTP/1.0" 200 18612 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [10/Dec/2018:12:21:02 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://tory-wordpress-site.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [10/Dec/2018:12:21:08 +0000] "GET / HTTP/1.0" 200 18612 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [10/Dec/2018:12:21:09 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://tory-wordpress-site.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [10/Dec/2018:12:21:23 +0000] "GET / HTTP/1.0" 200 18612 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [10/Dec/2018:12:21:24 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://tory-wordpress-site.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [10/Dec/2018:12:21:45 +0000] "GET /experiment.php HTTP/1.0" 200 16 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [10/Dec/2018:12:21:45 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://tory-wordpress-site.local/experiment.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [10/Dec/2018:12:23:22 +0000] "GET /experiment.php HTTP/1.0" 200 84 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [10/Dec/2018:12:23:22 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://tory-wordpress-site.local/experiment.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [10/Dec/2018:12:24:32 +0000] "GET /experiment.php HTTP/1.0" 200 85 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [10/Dec/2018:12:24:33 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://tory-wordpress-site.local/experiment.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [10/Dec/2018:12:24:34 +0000] "GET /experiment.php HTTP/1.0" 200 85 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [10/Dec/2018:12:24:34 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://tory-wordpress-site.local/experiment.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [10/Dec/2018:12:24:36 +0000] "GET /experiment.php HTTP/1.0" 200 85 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [10/Dec/2018:12:24:37 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://tory-wordpress-site.local/experiment.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [10/Dec/2018:12:25:45 +0000] "GET /experiment.php HTTP/1.0" 200 86 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
